Pollster,Start Date,End Date,Entry Date/Time (ET),Number of Observations,Population,Mode,Leave the EU,Remain in the EU,Undecided,Pollster URL,Source URL,Partisan,Affiliation
Survation/IG Group,2016-06-15,2016-06-15,2016-06-16T16:23:23Z,1040,Likely Voters,Live Phone,41,39,12,http://elections.huffingtonpost.com/pollster/polls/survation-ig-group-24693,http://survation.com/wp-content/uploads/2016/06/Final-IG-June-Tables-150616RSDLL-1c1d0h4.pdf,Nonpartisan,None
BMG Research/Herald,2016-06-10,2016-06-15,2016-06-21T20:21:22Z,1339,Likely Voters,Internet,47,37,13,http://elections.huffingtonpost.com/pollster/polls/bmg-research-herald-24731,http://www.bmgresearch.co.uk/wp-content/uploads/2016/06/CONFIDENTIAL-BMG-HERALD-EU-REFERENDUM-POLL-ONLINE-160616-V1.pdf,Nonpartisan,None
BMG Research/Herald,2016-06-10,2016-06-15,2016-06-21T20:39:36Z,981,Likely Voters,Live Phone,38,40,16,http://elections.huffingtonpost.com/pollster/polls/bmg-research-herald-24732,http://www.bmgresearch.co.uk/wp-content/uploads/2016/06/CONFIDENTIAL-BMG-HERALD-EU-REFERENDUM-POLL-160616-V1.pdf,Nonpartisan,None
NBC/SurveyMonkey,2016-06-08,2016-06-15,2016-06-17T17:05:05Z,3553,Likely Voters,Internet,48,48,4,http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-24700,http://www.nbcnews.com/storyline/brexit-referendum/poll-british-voters-split-brexit-think-eu-exit-vote-will-n594086,Nonpartisan,None
Ipsos MORI/Evening Standard,2016-06-11,2016-06-14,2016-06-16T16:32:32Z,979,Likely Voters,Live Phone,53,47,,http://elections.huffingtonpost.com/pollster/polls/ipsos-mori-evening-standard-24694,https://www.ipsos-mori.com/researchpublications/researcharchive/3746/Immigration-is-now-the-top-issue-for-voters-in-the-EU-referendum.aspx,Nonpartisan,None
YouGov/The Times,2016-06-12,2016-06-13,2016-06-14T16:33:11Z,1905,Adults,Internet,46,39,11,http://elections.huffingtonpost.com/pollster/polls/yougov-the-times-24670,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/4ko8mpylq7/TimesResults_160613_EUReferendum_W_Headline.pdf,Nonpartisan,None
ICM Unlimited,2016-06-10,2016-06-13,2016-06-13T17:51:41Z,1729,Likely Voters,Internet,49,44,7,http://elections.huffingtonpost.com/pollster/polls/icm-unlimited-24660,http://www.icmunlimited.com/polls/,Nonpartisan,None
ICM Unlimited/The Guardian,2016-06-10,2016-06-13,2016-06-13T17:46:21Z,887,Likely Voters,Live Phone,50,45,6,http://elections.huffingtonpost.com/pollster/polls/icm-unlimited-the-guardian-24659,http://www.icmunlimited.com/polls/,Nonpartisan,None
ComRes/Sun,2016-06-09,2016-06-13,2016-06-15T15:05:19Z,634,Likely Voters,Live Phone,49,51,,http://elections.huffingtonpost.com/pollster/polls/comres-sun-24682,http://www.comres.co.uk/polls/sun-eu-referendum-poll-june-2016/,Nonpartisan,None
TNS,2016-06-07,2016-06-13,2016-06-15T15:14:28Z,1664,Likely Voters,Internet,47,40,12,http://elections.huffingtonpost.com/pollster/polls/tns-24683,http://uk.kantar.com/media/1309245/tns_data_tables_14th_june_2016.pdf,Nonpartisan,None
ORB/The Daily Telegraph,2016-06-09,2016-06-12,2016-06-14T16:49:17Z,493,Likely Voters,Live Phone,49,48,3,http://elections.huffingtonpost.com/pollster/polls/orb-the-daily-telegraph-24671,http://www.opinion.co.uk/perch/resources/orb-international-daily-telegraph-14th-june-tables.pdf,Nonpartisan,None
YouGov/The Sunday Times,2016-06-09,2016-06-10,2016-06-13T15:35:02Z,1671,Adults,Internet,43,42,11,http://elections.huffingtonpost.com/pollster/polls/yougov-the-sunday-times-24655,http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/qi3olqsp2n/SundayTimesResults_160610_EUReferendum.pdf,Nonpartisan,None
Opinium/Observer,2016-06-07,2016-06-10,2016-06-13T15:23:19Z,2009,Adults,Internet,42,44,13,http://elections.huffingtonpost.com/pollster/polls/opinium-observer-24654,http://www.theguardian.com/politics/2016/jun/11/brexit-eu-referendum-vote-last-minute-decision-decide-lse,Nonpartisan,None
ORB/The Independent,2016-06-08,2016-06-09,2016-06-13T15:17:28Z,1817,Likely Voters,Internet,55,45,,http://elections.huffingtonpost.com/pollster/polls/orb-the-independent-24653,http://www.opinion.co.uk/perch/resources/orbindependent-friday-10th-june-final-data-tables.pdf,Nonpartisan,None
YouGov/The Times,2016-06-05,2016-06-06,2016-06-07T15:03:02Z,2001,Adults,Internet,42,43,11,http://elections.huffingtonpost.com/pollster/polls/yougov-the-times-24630,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/0ofltfa592/Times_Results_160606_EU_Final_Website.pdf,Nonpartisan,None
ICM Unlimited,2016-06-03,2016-06-05,2016-06-06T16:21:07Z,1741,Likely Voters,Internet,48,43,9,http://elections.huffingtonpost.com/pollster/polls/icm-unlimited-24621,http://www.icmunlimited.com/polls/,Nonpartisan,None
ORB/The Daily Telegraph,2016-06-02,2016-06-05,2016-06-07T15:40:33Z,488,Likely Voters,Live Phone,47,48,5,http://elections.huffingtonpost.com/pollster/polls/orb-the-daily-telegraph-24632,http://www.opinion.co.uk/perch/resources/poll-j9043-tables-weighted-v1.pdf,Nonpartisan,None
YouGov/ITV News,2016-06-01,2016-06-03,2016-06-06T16:15:03Z,3495,Adults,Internet,45,41,11,http://elections.huffingtonpost.com/pollster/polls/yougov-itv-news-24620,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/hkfno5n9fo/GMB_Results_160603_UndecidedVoters_Website.pdf,Nonpartisan,None
Opinium/Observer,2016-05-31,2016-06-03,2016-06-06T16:07:18Z,2007,Adults,Internet,41,43,14,http://elections.huffingtonpost.com/pollster/polls/opinium-observer-24619,http://ourinsight.opinium.co.uk/sites/ourinsight.opinium.co.uk/files/vi_31_05_16.pdf,Nonpartisan,None
YouGov/The Times,2016-05-30,2016-05-31,2016-06-01T16:15:31Z,1735,Adults,Internet,41,41,13,http://elections.huffingtonpost.com/pollster/polls/yougov-the-times-24591,http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/5410is51bi/TimesResults_160531_EURef&HousePrices_W.pdf,Nonpartisan,None
ICM Unlimited,2016-05-27,2016-05-30,2016-05-31T17:28:40Z,1772,Likely Voters,Internet,47,44,9,http://elections.huffingtonpost.com/pollster/polls/icm-unlimited-24581,http://www.icmunlimited.com/polls/,Nonpartisan,None
ICM Unlimited/The Guardian,2016-05-27,2016-05-29,2016-05-31T17:23:24Z,849,Likely Voters,Live Phone,45,42,13,http://elections.huffingtonpost.com/pollster/polls/icm-unlimited-the-guardian-24580,http://www.icmunlimited.com/polls/,Nonpartisan,None
ORB/The Daily Telegraph,2016-05-25,2016-05-29,2016-05-31T17:34:53Z,448,Likely Voters,Live Phone,46,51,3,http://elections.huffingtonpost.com/pollster/polls/orb-the-daily-telegraph-24582,http://www.opinion.co.uk/article.php?s=daily-telegraph-poll-25th-29th-may,Nonpartisan,None
BMG Research,2016-05-20,2016-05-25,2016-05-26T15:40:31Z,1638,Adults,Internet,45,44,12,http://elections.huffingtonpost.com/pollster/polls/bmg-research-24562,http://www.bmgresearch.co.uk/bmg-eu-referendum-tracker-leave-45-remain-44-undecidedpnts-12/,Nonpartisan,None
YouGov/The Times,2016-05-23,2016-05-24,2016-05-25T14:36:10Z,1013,Adults,Internet,41,41,13,http://elections.huffingtonpost.com/pollster/polls/yougov-the-times-24551,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/ermvttumrb/YG-Archives-Pol-Trackers-Europe-Referendum-250516.pdf,Nonpartisan,None
Survation/IG Group,2016-05-24,2016-05-24,2016-05-25T14:24:46Z,963,Likely Voters,Live Phone,35,42,19,http://elections.huffingtonpost.com/pollster/polls/survation-ig-group-24550,http://survation.com/wp-content/uploads/2016/05/Full-IG-EU-Poll-Tables-230516RSDLL-1c0d1h3.pdf,Nonpartisan,None
ORB/The Daily Telegraph,2016-05-18,2016-05-22,2016-05-24T14:48:19Z,464,Likely Voters,Live Phone,42,55,3,http://elections.huffingtonpost.com/pollster/polls/orb-the-daily-telegraph-24543,http://www.opinion.co.uk/article.php?s=daily-telegraph-poll-18th-22nd-may,Nonpartisan,None
ICM Unlimited,2016-05-20,2016-05-22,2016-05-24T17:37:07Z,1639,Likely Voters,Internet,45,45,10,http://elections.huffingtonpost.com/pollster/polls/icm-unlimited-24547,https://www.icmunlimited.com/wp-content/uploads/2016/05/23-May-2016-v2.pdf,Nonpartisan,None
Opinium/Observer,2016-05-17,2016-05-19,2016-05-22T18:11:31Z,2008,Adults,Internet,40,44,14,http://elections.huffingtonpost.com/pollster/polls/opinium-observer-24528,http://www.theguardian.com/politics/2016/may/21/tory-eu-referendum-voters-switching-remain-opinium-observer-poll,Nonpartisan,None
YouGov/The Times,2016-05-16,2016-05-17,2016-05-18T16:18:12Z,1648,Adults,Internet,40,44,12,http://elections.huffingtonpost.com/pollster/polls/yougov-the-times-24508,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/31mkuwrwz2/TimesResults_160517_EU_W.pdf,Nonpartisan,None
ComRes/Daily Mail/ITV News,2016-05-14,2016-05-17,2016-05-20T17:18:49Z,838,Likely Voters,Live Phone,43,57,,http://elections.huffingtonpost.com/pollster/polls/comres-daily-mail-itv-news-24522,http://www.comres.co.uk/polls/itv-news-daily-mail-eu-referendum-poll-may-2016/,Nonpartisan,None
Ipsos MORI/Evening Standard,2016-05-14,2016-05-16,2016-05-18T16:33:04Z,,Likely Voters,Live Phone,37,55,5,http://elections.huffingtonpost.com/pollster/polls/ipsos-mori-evening-standard-24509,https://www.ipsos-mori.com/researchpublications/researcharchive/3734/Half-believe-the-economy-will-get-worse-in-the-short-term-if-Britain-leaves-the-EU-but-more-likely-to-think-it-will-improve-in-the-long-term.aspx,Nonpartisan,None
ORB/The Daily Telegraph,2016-05-11,2016-05-15,2016-05-17T17:30:50Z,451,Likely Voters,Live Phone,45,51,4,http://elections.huffingtonpost.com/pollster/polls/orb-the-daily-telegraph-24501,http://www.opinion.co.uk/article.php?s=daily-telegraph-poll-11th-15th-may,Nonpartisan,None
ICM/The Guardian,2016-05-13,2016-05-15,2016-05-16T18:06:20Z,822,Likely Voters,Automated Phone,39,47,14,http://elections.huffingtonpost.com/pollster/polls/icm-the-guardian-24496,https://www.icmunlimited.com/wp-content/uploads/2016/05/2016_guard_may_mode_test.pdf,Nonpartisan,None
ICM/The Guardian,2016-05-13,2016-05-15,2016-05-16T17:52:13Z,1699,Likely Voters,Internet,47,43,10,http://elections.huffingtonpost.com/pollster/polls/icm-the-guardian-24495,https://www.icmunlimited.com/wp-content/uploads/2016/05/2016_guard_may_mode_test.pdf,Nonpartisan,None
TNS,2016-05-10,2016-05-12,2016-05-17T17:50:12Z,1103,Likely Voters,Internet,41,38,21,http://elections.huffingtonpost.com/pollster/polls/tns-24502,http://www.tnsglobal.co.uk/press-release/one-five-voters-still-undecided-eu-referendum,Nonpartisan,None
ICM,2016-05-06,2016-05-08,2016-05-09T15:37:25Z,1646,Likely Voters,Internet,46,44,11,http://elections.huffingtonpost.com/pollster/polls/icm-24457,https://www.icmunlimited.com/wp-content/uploads/2016/05/9-May-2016.pdf,Nonpartisan,None
YouGov/ITV News,2016-05-04,2016-05-06,2016-05-09T15:23:32Z,3378,Adults,Internet,40,42,13,http://elections.huffingtonpost.com/pollster/polls/yougov-itv-news-24456,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/o7f6u41miv/GMB_Results_160506_UndecidedVoters_Webstie.pdf,Nonpartisan,None
ICM,2016-04-29,2016-05-03,2016-05-03T16:38:57Z,1680,Likely Voters,Internet,45,44,11,http://elections.huffingtonpost.com/pollster/polls/icm-24434,https://www.icmunlimited.com/wp-content/uploads/2016/05/3-May-2016.pdf,Nonpartisan,None
Opinium/Observer,2016-04-26,2016-04-29,2016-05-02T16:55:11Z,2005,Adults,Internet,41,42,14,http://elections.huffingtonpost.com/pollster/polls/opinium-observer-24422,http://ourinsight.opinium.co.uk/sites/ourinsight.opinium.co.uk/files/vi_tables_26_04_2016_final.pdf,Nonpartisan,None
ORB/The Independent,2016-04-27,2016-04-29,2016-05-02T17:41:11Z,1823,Likely Voters,Internet,51,49,,http://elections.huffingtonpost.com/pollster/polls/orb-the-independent-24424,http://www.opinion.co.uk/article.php?s=the-independent-poll-april-2016,Nonpartisan,None
YouGov/The Times,2016-04-25,2016-04-26,2016-04-28T14:11:56Z,1650,Adults,Internet,42,41,13,http://elections.huffingtonpost.com/pollster/polls/yougov-the-times-24391,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/ieuepajv7k/TimesResults_160424_EURef_W.pdf,Nonpartisan,None
Survation/IG Group,2016-04-25,2016-04-26,2016-04-27T15:05:25Z,912,Likely Voters,Internet,38,45,17,http://elections.huffingtonpost.com/pollster/polls/survation-ig-group-24385,http://survation.com/wp-content/uploads/2016/04/Final-IG-April-Tables-250416RSDLL-1c0d0h3.pdf,Nonpartisan,None
ICM,2016-04-22,2016-04-24,2016-04-26T20:01:20Z,1650,Likely Voters,Internet,46,44,10,http://elections.huffingtonpost.com/pollster/polls/icm-24378,https://www.icmunlimited.com/wp-content/uploads/2016/04/25-April.pdf,Nonpartisan,None
ORB/The Daily Telegraph,2016-04-20,2016-04-24,2016-04-26T19:18:27Z,530,Likely Voters,Live Phone,46,51,3,http://elections.huffingtonpost.com/pollster/polls/orb-the-daily-telegraph-24372,http://www.opinion.co.uk/article.php?s=daily-telegraph-poll-20th-24th-april,Nonpartisan,None
ComRes/Daily Mail/ITV News,2016-04-16,2016-04-19,2016-04-26T19:49:26Z,838,Likely Voters,Live Phone,42,58,,http://elections.huffingtonpost.com/pollster/polls/comres-daily-mail-itv-news-24376,http://www.comres.co.uk/polls/daily-mail-itv-news-eu-referendum-poll/,Nonpartisan,None
Ipsos MORI/Evening Standard,2016-04-16,2016-04-18,2016-04-26T20:06:04Z,784,Likely Voters,Live Phone,38,49,9,http://elections.huffingtonpost.com/pollster/polls/ipsos-mori-evening-standard-24379,https://www.ipsos-mori.com/researchpublications/researcharchive/3722/Economy-and-immigration-key-issues-for-Britons-in-the-EU-referendum.aspx#gallery[m]/2/,Nonpartisan,None
ICM/The Guardian,2016-04-15,2016-04-17,2016-04-26T19:53:59Z,1654,Likely Voters,Internet,44,43,13,http://elections.huffingtonpost.com/pollster/polls/icm-the-guardian-24377,https://www.icmunlimited.com/wp-content/uploads/2016/04/2016_guardian_april_modetest.pdf,Nonpartisan,None
ICM/The Guardian,2016-04-15,2016-04-17,2016-04-26T20:12:37Z,850,Likely Voters,Automated Phone,41,48,11,http://elections.huffingtonpost.com/pollster/polls/icm-the-guardian-24380,https://www.icmunlimited.com/wp-content/uploads/2016/04/2016_guardian_april_modetest.pdf,Nonpartisan,None
ORB/The Daily Telegraph,2016-04-13,2016-04-17,2016-04-26T18:41:35Z,531,Likely Voters,Live Phone,43,52,5,http://elections.huffingtonpost.com/pollster/polls/orb-the-daily-telegraph-24370,http://www.opinion.co.uk/article.php?s=daily-telegraph-poll-13th-17th-april,Nonpartisan,None
YouGov/GMB,2016-04-12,2016-04-14,2016-04-26T18:38:46Z,3371,Adults,Internet,39,40,16,http://elections.huffingtonpost.com/pollster/polls/yougov-gmb-24369,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/0e8rm3xhr2/GMB_Results_160414_UndecidedVoters_Website.pdf,Nonpartisan,None
TNS BMRB,2016-04-12,2016-04-14,2016-04-26T21:13:04Z,1087,Likely Voters,Internet,34,38,28,http://elections.huffingtonpost.com/pollster/polls/tns-bmrb-24382,http://www.tns-bmrb.co.uk/sites/tns-uk/files/15.04.2016%20TABLES%20FOR%20PUBLICATION%20-%20EU%20multi-country%20poll.pdf,Nonpartisan,None
YouGov/The Times,2016-04-11,2016-04-12,2016-04-27T01:25:16Z,1693,Adults,Internet,39,39,17,http://elections.huffingtonpost.com/pollster/polls/yougov-the-times-24383,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/k0c0qjfg6w/TimesResults_160412_VI&EURef_W.pdf,Nonpartisan,None
TNS BMRB,2016-04-07,2016-04-11,2016-04-26T20:26:41Z,1198,Adults,Internet,35,35,30,http://elections.huffingtonpost.com/pollster/polls/tns-bmrb-24381,http://www.tns-bmrb.co.uk/press-release/tns-poll-still-no-breakthrough-referendum-campaigns,Nonpartisan,None
ComRes/Sun,2016-04-08,2016-04-10,2016-04-26T19:33:18Z,1002,Adults,Live Phone,38,45,17,http://elections.huffingtonpost.com/pollster/polls/comres-sun-24374,http://www.comres.co.uk/wp-content/uploads/2016/04/The-Sun_EU-Referendum-Survey_April-2016_General-Public.pdf,Nonpartisan,None
ICM,2016-04-08,2016-04-10,2016-04-26T19:42:17Z,1645,Likely Voters,Internet,45,42,12,http://elections.huffingtonpost.com/pollster/polls/icm-24375,https://www.icmunlimited.com/wp-content/uploads/2016/04/11_April.pdf,Nonpartisan,None
YouGov,2016-04-06,2016-04-07,2016-04-26T18:33:55Z,1612,Adults,Internet,38,40,16,http://elections.huffingtonpost.com/pollster/polls/yougov-24368,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/e492lvhidi/InternalResults_160301_EU.pdf,Nonpartisan,None
YouGov,2016-03-29,2016-04-04,2016-04-26T18:27:35Z,2233,Adults,Internet,38,39,18,http://elections.huffingtonpost.com/pollster/polls/yougov-24366,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/0ql1u2e30p/InternalResults_160405_EU_W.pdf,Nonpartisan,None
ICM,2016-04-01,2016-04-03,2016-04-26T19:30:56Z,1629,Likely Voters,Internet,43,44,13,http://elections.huffingtonpost.com/pollster/polls/icm-24373,https://www.icmunlimited.com/wp-content/uploads/2016/04/Voting-04thApr16_pv-only-2.pdf,Nonpartisan,None
ORB/The Daily Telegraph,2016-03-29,2016-04-03,2016-04-26T18:55:10Z,513,Likely Voters,Live Phone,48,49,3,http://elections.huffingtonpost.com/pollster/polls/orb-the-daily-telegraph-24371,http://www.opinion.co.uk/article.php?s=daily-telegraph-poll-29th-march-3rd-april,Nonpartisan,None
Opinium/Observer,2016-03-29,2016-04-01,2016-04-26T18:29:11Z,1966,Adults,Internet,43,39,18,http://elections.huffingtonpost.com/pollster/polls/opinium-observer-24367,http://ourinsight.opinium.co.uk/sites/ourinsight.opinium.co.uk/files/vi_29_03_2016_final2.pdf,Nonpartisan,None
